userId,movieId,rating,timestamp
1,1,4.0,964982703
1,3,4.0,964981247
1,6,4.0,964982224
1,47,5.0,964983815
1,50,5.0,964982931
2,1,4.0,964982703
2,2,3.0,964981247
2,6,4.5,964982224
2,10,4.0,964983815
2,25,5.0,964982931
3,1,5.0,964982703
3,3,3.5,964981247
3,6,4.0,964982224
3,32,4.5,964983815
3,47,4.0,964982931
4,1,3.0,964982703
4,2,4.0,964981247
4,6,3.5,964982224
4,21,4.5,964983815
4,34,4.0,964982931
5,1,4.5,964982703
5,3,4.0,964981247
5,6,5.0,964982224
5,25,4.5,964983815
5,32,4.0,964982931
6,1,3.5,964982703
6,2,3.0,964981247
6,10,4.0,964982224
6,47,5.0,964983815
6,50,4.5,964982931
7,1,4.0,964982703
7,6,4.5,964981247
7,21,3.5,964982224
7,32,4.0,964983815
7,47,4.5,964982931
8,2,3.0,964982703
8,3,4.0,964981247
8,10,4.5,964982224
8,25,5.0,964983815
8,34,4.0,964982931
9,1,5.0,964982703
9,6,4.0,964981247
9,21,4.5,964982224
9,47,5.0,964983815
9,50,4.5,964982931
10,2,3.5,964982703
10,3,4.0,964981247
10,10,4.5,964982224
10,32,4.0,964983815
10,34,3.5,964982931
